datetime,SO2,hour,dayofweek,hour_sin,hour_cos,dow_sin,dow_cos,SO2_lag_1,SO2_lag_6,SO2_lag_12,SO2_lag_24
2021-07-13 02:30:00,0.52346,2.0,1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,0.69794,0.52405,0.58956
2021-07-13 02:45:00,0.52346,2.0,1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.52346,0.78518,0.26203,0.78608
2021-07-13 03:00:00,0.39259,3.0,1.0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.52346,0.52346,0.26203,0.78608
2021-07-13 03:00:00,0.52346,3.0,1.0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.39259,0.6107,0.78518,1.31013
2021-07-13 03:15:00,0.78518,3.0,1.0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.52346,0.52346,0.52346,1.04811
2021-07-13 03:30:00,0.78518,3.0,1.0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.78518,0.0,0.78518,0.9826
2021-07-13 03:45:00,1.04691,3.0,1.0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.78518,0.52346,0.69794,0.78608
2021-07-13 04:00:00,1.04691,4.0,1.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1.04691,0.52346,0.78518,0.78608
2021-07-13 04:00:00,0.91605,4.0,1.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1.04691,0.39259,0.52346,0.26203
2021-07-13 04:15:00,0.52346,4.0,1.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.91605,0.52346,0.6107,0.0
2021-07-13 04:30:00,0.0,4.0,1.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.52346,0.78518,0.52346,0.52405
2021-07-13 04:45:00,0.26173,4.0,1.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.0,0.78518,0.0,0.39304
2021-07-13 05:00:00,0.52346,5.0,1.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.26173,1.04691,0.52346,0.52405
2021-07-13 05:00:00,0.32716,5.0,1.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.52346,1.04691,0.52346,0.26203
2021-07-13 05:15:00,0.52346,5.0,1.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.32716,0.91605,0.39259,0.26203
2021-07-13 05:30:00,0.78518,5.0,1.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.52346,0.52346,0.52346,0.78518
2021-07-13 05:45:00,0.78518,5.0,1.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.78518,0.0,0.78518,0.52346
2021-07-13 06:00:00,0.78518,6.0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.78518,0.26173,0.78518,0.78518
